insee_code,total_rooftops,pv_rooftops_count
01001,941,17
01002,446,7
01004,7743,141
01005,1344,35
01006,164,3
01007,2638,45
01008,644,10
01009,468,10
01010,1188,37
01011,322,15
01012,479,11
01013,349,3
01014,2110,48
01015,1120,12
01016,703,8
01017,636,14
01019,72,2
01021,1047,16
01022,1182,22
01023,125,0
01024,2911,49
01025,4282,73
01026,769,8
01027,1536,34
01028,736,13
01029,864,16
01030,443,11
01031,1443,29
01032,1995,42
01033,6663,139
01034,5205,75
01035,375,9
01036,2322,40
01037,458,7
01038,945,13
01039,492,9
01040,651,12
01041,793,8
01042,359,6
01043,3411,53
01044,503,19
01045,312,6
01046,1061,18
01047,969,26
01049,2329,38
01050,477,5
01051,195,0
01052,550,3
01053,11621,159
01054,1394,32
01056,629,8
01057,593,9
01058,1036,15
01060,658,18
01061,1073,36
01062,846,25
01063,525,10
01064,1166,16
01065,1469,31
01066,237,2
01067,260,7
01068,806,9
01069,1286,36
01071,2402,104
01072,2302,48
01073,1457,23
01074,1918,36
01075,1296,26
01076,248,2
01077,254,4
01078,1056,47
01079,930,14
01080,717,14
01081,687,8
01082,580,8
01083,1015,12
01084,1078,14
01085,535,8
01087,319,5
01088,884,24
01089,1812,45
01090,523,6
01092,1528,24
01093,3501,58
01094,1114,16
01095,1005,14
01096,1310,22
01098,1246,27
01099,1556,34
01100,311,2
01101,226,6
01102,1207,15
01103,938,35
01104,619,12
01105,1430,35
01106,230,5
01107,272,1
01108,1330,22
01109,1280,32
01110,233,6
01111,279,0
01112,343,9
01113,968,10
01114,430,12
01115,1260,20
01116,746,7
01117,239,4
01118,1404,27
01121,148,1
01123,1093,21
01124,1116,13
01125,741,13
01127,637,11
01128,440,11
01129,401,8
01130,2454,45
01133,500,3
01134,2084,26
01135,1550,68
01136,989,12
01138,2108,41
01139,1053,16
01140,877,11
01141,485,14
01142,2666,51
01143,4650,114
01145,1300,24
01146,508,9
01147,794,14
01148,1377,30
01149,956,25
01150,295,5
01151,1472,25
01152,912,19
01153,1494,49
01155,224,6
01156,970,6
01157,2375,38
01158,811,25
01159,3335,33
01160,1531,19
